No_gen, Best, MQ, No_clus, max_clus, min_clus
134,1.8410827113185528,1.9132662073838542,4,11,2
135,1.8410827113185528,1.9132662073838542,4,11,2
136,1.8410827113185528,1.9132662073838542,4,11,2
137,1.8410827113185528,1.9132662073838542,4,11,2
138,1.8410827113185528,1.9132662073838542,4,11,2
139,1.8410827113185528,1.9132662073838542,4,11,2
140,1.8410827113185528,1.9132662073838542,4,11,2
141,1.8410827113185528,1.9132662073838542,4,11,2
142,1.8410827113185528,1.9132662073838542,4,11,2
143,1.8410827113185528,1.9132662073838542,4,11,2
144,1.8410827113185528,1.9132662073838542,4,11,2
145,1.8410827113185528,1.9132662073838542,4,11,2
146,1.8410827113185528,1.9132662073838542,4,11,2
147,1.8410827113185528,1.9132662073838542,4,11,2
148,1.8410827113185528,1.9132662073838542,4,11,2
149,1.8410827113185528,1.9132662073838542,4,11,2
150,1.8410827113185528,1.9132662073838542,4,11,2
151,1.8410827113185528,1.9132662073838542,4,11,2
152,1.8410827113185528,1.9132662073838542,4,11,2
153,1.8410827113185528,1.9132662073838542,4,11,2
154,1.8410827113185528,1.9132662073838542,4,11,2
155,1.8410827113185528,1.9132662073838542,4,11,2
156,1.8410827113185528,1.9132662073838542,4,11,2
157,1.8410827113185528,1.9132662073838542,4,11,2
158,1.8410827113185528,1.9132662073838542,4,11,2
159,1.8410827113185528,1.9132662073838542,4,11,2
160,1.8410827113185528,1.9132662073838542,4,11,2
161,1.8410827113185528,1.9132662073838542,4,11,2
162,1.8410827113185528,1.9132662073838542,4,11,2
163,1.8410827113185528,1.9132662073838542,4,11,2
164,1.8410827113185528,1.9132662073838542,4,11,2
165,1.8410827113185528,1.9132662073838542,4,11,2
166,1.8410827113185528,1.9132662073838542,4,11,2
167,1.8410827113185528,1.9132662073838542,4,11,2
168,1.8410827113185528,1.9132662073838542,4,11,2
169,1.8410827113185528,1.9132662073838542,4,11,2
170,1.8410827113185528,1.9132662073838542,4,11,2
171,1.8410827113185528,1.9132662073838542,4,11,2
172,1.8410827113185528,1.9132662073838542,4,11,2
173,1.8410827113185528,1.9132662073838542,4,11,2
174,1.8410827113185528,1.9132662073838542,4,11,2
175,1.8410827113185528,1.9132662073838542,4,11,2
176,1.8410827113185528,1.9132662073838542,4,11,2
177,1.8410827113185528,1.9132662073838542,4,11,2
178,1.8410827113185528,1.9132662073838542,4,11,2
179,1.8410827113185528,1.9132662073838542,4,11,2
180,1.8410827113185528,1.9132662073838542,4,11,2
181,1.8410827113185528,1.9132662073838542,4,11,2
182,1.8410827113185528,1.9132662073838542,4,11,2
183,1.8410827113185528,1.9132662073838542,4,11,2
184,1.8410827113185528,1.9132662073838542,4,11,2
185,1.8410827113185528,1.9132662073838542,4,11,2
186,1.8410827113185528,1.9132662073838542,4,11,2
187,1.8410827113185528,1.9132662073838542,4,11,2
188,1.8410827113185528,1.9132662073838542,4,11,2
189,1.8410827113185528,1.9132662073838542,4,11,2
190,1.8410827113185528,1.9132662073838542,4,11,2
191,1.8410827113185528,1.9132662073838542,4,11,2
192,1.8410827113185528,1.9132662073838542,4,11,2
193,1.8410827113185528,1.9132662073838542,4,11,2
194,1.8410827113185528,1.9132662073838542,4,11,2
195,1.8410827113185528,1.9132662073838542,4,11,2
196,1.8410827113185528,1.9132662073838542,4,11,2
197,1.8410827113185528,1.9132662073838542,4,11,2
198,1.8410827113185528,1.9132662073838542,4,11,2
199,1.8410827113185528,1.9132662073838542,4,11,2
200,1.8410827113185528,1.9132662073838542,4,11,2
201,1.8410827113185528,1.9132662073838542,4,11,2
202,1.8410827113185528,1.9132662073838542,4,11,2
203,1.8410827113185528,1.9132662073838542,4,11,2
204,1.8410827113185528,1.9132662073838542,4,11,2
205,1.8410827113185528,1.9132662073838542,4,11,2
206,1.8410827113185528,1.9132662073838542,4,11,2
207,1.8410827113185528,1.9132662073838542,4,11,2
208,1.8410827113185528,1.9132662073838542,4,11,2
209,1.8410827113185528,1.9132662073838542,4,11,2
210,1.8410827113185528,1.9132662073838542,4,11,2
211,1.8410827113185528,1.9132662073838542,4,11,2
212,1.8410827113185528,1.9132662073838542,4,11,2
213,1.8410827113185528,1.9132662073838542,4,11,2
214,1.8410827113185528,1.9132662073838542,4,11,2
215,1.8410827113185528,1.9132662073838542,4,11,2
216,1.8410827113185528,1.9132662073838542,4,11,2
217,1.8410827113185528,1.9132662073838542,4,11,2
218,1.8410827113185528,1.9132662073838542,4,11,2
219,1.8410827113185528,1.9132662073838542,4,11,2
220,1.8410827113185528,1.9132662073838542,4,11,2
221,1.8410827113185528,1.9132662073838542,4,11,2
222,1.8410827113185528,1.9132662073838542,4,11,2
223,1.8410827113185528,1.9132662073838542,4,11,2
224,1.8410827113185528,1.9132662073838542,4,11,2
225,1.8410827113185528,1.9132662073838542,4,11,2
226,1.8410827113185528,1.9132662073838542,4,11,2
227,1.8410827113185528,1.9132662073838542,4,11,2
228,1.8410827113185528,1.9132662073838542,4,11,2
229,1.8410827113185528,1.9132662073838542,4,11,2
230,1.8410827113185528,1.9132662073838542,4,11,2
231,1.8410827113185528,1.9132662073838542,4,11,2
232,1.8410827113185528,1.9132662073838542,4,11,2
233,1.8410827113185528,1.9132662073838542,4,11,2
234,1.8410827113185528,1.9132662073838542,4,11,2
235,1.8410827113185528,1.9132662073838542,4,11,2
236,1.8410827113185528,1.9132662073838542,4,11,2
237,1.8410827113185528,1.9132662073838542,4,11,2
238,1.8410827113185528,1.9132662073838542,4,11,2
239,1.8410827113185528,1.9132662073838542,4,11,2
240,1.8410827113185528,1.9132662073838542,4,11,2
241,1.8410827113185528,1.9132662073838542,4,11,2
242,1.8410827113185528,1.9132662073838542,4,11,2
243,1.8410827113185528,1.9132662073838542,4,11,2
244,1.8410827113185528,1.9132662073838542,4,11,2
245,1.8410827113185528,1.9132662073838542,4,11,2
246,1.8410827113185528,1.9132662073838542,4,11,2
247,1.8410827113185528,1.9132662073838542,4,11,2
248,1.8410827113185528,1.9132662073838542,4,11,2
249,1.8410827113185528,1.9132662073838542,4,11,2
250,1.8410827113185528,1.9132662073838542,4,11,2
251,1.8410827113185528,1.9132662073838542,4,11,2
252,1.8410827113185528,1.9132662073838542,4,11,2
253,1.8410827113185528,1.9132662073838542,4,11,2
254,1.8410827113185528,1.9132662073838542,4,11,2
255,1.8410827113185528,1.9132662073838542,4,11,2
256,1.8410827113185528,1.9132662073838542,4,11,2
257,1.8410827113185528,1.9132662073838542,4,11,2
258,1.8410827113185528,1.9132662073838542,4,11,2
259,1.8410827113185528,1.9132662073838542,4,11,2
260,1.8410827113185528,1.9132662073838542,4,11,2
261,1.8410827113185528,1.9132662073838542,4,11,2
262,1.8410827113185528,1.9132662073838542,4,11,2
263,1.8410827113185528,1.9132662073838542,4,11,2
264,1.8410827113185528,1.9132662073838542,4,11,2
265,1.8410827113185528,1.9132662073838542,4,11,2
266,1.8410827113185528,1.9132662073838542,4,11,2
