No_gen, Best, MQ, No_clus, max_clus, min_clus
145,1.219506744606932,1.2822510822510824,3,7,2
146,1.219506744606932,1.2822510822510824,3,7,2
147,1.219506744606932,1.2822510822510824,3,7,2
148,1.219506744606932,1.2822510822510824,3,7,2
149,1.219506744606932,1.2822510822510824,3,7,2
150,1.219506744606932,1.2822510822510824,3,7,2
151,1.219506744606932,1.2822510822510824,3,7,2
152,1.219506744606932,1.2822510822510824,3,7,2
153,1.219506744606932,1.2822510822510824,3,7,2
154,1.219506744606932,1.2822510822510824,3,7,2
155,1.219506744606932,1.2822510822510824,3,7,2
156,1.219506744606932,1.2822510822510824,3,7,2
157,1.219506744606932,1.2822510822510824,3,7,2
158,1.219506744606932,1.2822510822510824,3,7,2
159,1.219506744606932,1.2822510822510824,3,7,2
160,1.219506744606932,1.2822510822510824,3,7,2
161,1.219506744606932,1.2822510822510824,3,7,2
162,1.219506744606932,1.2822510822510824,3,7,2
163,1.219506744606932,1.2822510822510824,3,7,2
164,1.219506744606932,1.2822510822510824,3,7,2
165,1.219506744606932,1.2822510822510824,3,7,2
166,1.219506744606932,1.2822510822510824,3,7,2
167,1.219506744606932,1.2822510822510824,3,7,2
168,1.219506744606932,1.2822510822510824,3,7,2
169,1.219506744606932,1.2822510822510824,3,7,2
170,1.219506744606932,1.2822510822510824,3,7,2
171,1.219506744606932,1.2822510822510824,3,7,2
172,1.219506744606932,1.2822510822510824,3,7,2
173,1.219506744606932,1.2822510822510824,3,7,2
174,1.219506744606932,1.2822510822510824,3,7,2
175,1.219506744606932,1.2822510822510824,3,7,2
176,1.219506744606932,1.2822510822510824,3,7,2
177,1.219506744606932,1.2822510822510824,3,7,2
178,1.219506744606932,1.2822510822510824,3,7,2
179,1.219506744606932,1.2822510822510824,3,7,2
180,1.219506744606932,1.2822510822510824,3,7,2
181,1.219506744606932,1.2822510822510824,3,7,2
182,1.219506744606932,1.2822510822510824,3,7,2
183,1.219506744606932,1.2822510822510824,3,7,2
184,1.219506744606932,1.2822510822510824,3,7,2
185,1.219506744606932,1.2822510822510824,3,7,2
186,1.219506744606932,1.2822510822510824,3,7,2
187,1.219506744606932,1.2822510822510824,3,7,2
188,1.219506744606932,1.2822510822510824,3,7,2
189,1.219506744606932,1.2822510822510824,3,7,2
190,1.219506744606932,1.2822510822510824,3,7,2
191,1.219506744606932,1.2822510822510824,3,7,2
192,1.219506744606932,1.2822510822510824,3,7,2
193,1.219506744606932,1.2822510822510824,3,7,2
194,1.219506744606932,1.2822510822510824,3,7,2
195,1.219506744606932,1.2822510822510824,3,7,2
196,1.219506744606932,1.2822510822510824,3,7,2
197,1.219506744606932,1.2822510822510824,3,7,2
198,1.219506744606932,1.2822510822510824,3,7,2
199,1.219506744606932,1.2822510822510824,3,7,2
200,1.219506744606932,1.2822510822510824,3,7,2
201,1.219506744606932,1.2822510822510824,3,7,2
202,1.219506744606932,1.2822510822510824,3,7,2
203,1.219506744606932,1.2822510822510824,3,7,2
204,1.219506744606932,1.2822510822510824,3,7,2
205,1.219506744606932,1.2822510822510824,3,7,2
206,1.219506744606932,1.2822510822510824,3,7,2
207,1.219506744606932,1.2822510822510824,3,7,2
208,1.219506744606932,1.2822510822510824,3,7,2
209,1.219506744606932,1.2822510822510824,3,7,2
210,1.219506744606932,1.2822510822510824,3,7,2
211,1.219506744606932,1.2822510822510824,3,7,2
212,1.219506744606932,1.2822510822510824,3,7,2
213,1.219506744606932,1.2822510822510824,3,7,2
214,1.219506744606932,1.2822510822510824,3,7,2
215,1.219506744606932,1.2822510822510824,3,7,2
216,1.219506744606932,1.2822510822510824,3,7,2
217,1.219506744606932,1.2822510822510824,3,7,2
218,1.219506744606932,1.2822510822510824,3,7,2
219,1.219506744606932,1.2822510822510824,3,7,2
220,1.219506744606932,1.2822510822510824,3,7,2
221,1.219506744606932,1.2822510822510824,3,7,2
222,1.219506744606932,1.2822510822510824,3,7,2
223,1.219506744606932,1.2822510822510824,3,7,2
224,1.219506744606932,1.2822510822510824,3,7,2
225,1.219506744606932,1.2822510822510824,3,7,2
226,1.219506744606932,1.2822510822510824,3,7,2
227,1.219506744606932,1.2822510822510824,3,7,2
228,1.219506744606932,1.2822510822510824,3,7,2
229,1.219506744606932,1.2822510822510824,3,7,2
230,1.219506744606932,1.2822510822510824,3,7,2
231,1.219506744606932,1.2822510822510824,3,7,2
232,1.219506744606932,1.2822510822510824,3,7,2
233,1.219506744606932,1.2822510822510824,3,7,2
234,1.219506744606932,1.2822510822510824,3,7,2
235,1.219506744606932,1.2822510822510824,3,7,2
236,1.219506744606932,1.2822510822510824,3,7,2
237,1.219506744606932,1.2822510822510824,3,7,2
238,1.219506744606932,1.2822510822510824,3,7,2
239,1.219506744606932,1.2822510822510824,3,7,2
240,1.219506744606932,1.2822510822510824,3,7,2
241,1.219506744606932,1.2822510822510824,3,7,2
